,race,username,date,tweet,language,like_count,winner,clean_tweet
0,Bahrain_23,Max33Verstappen,2023-03-05 19:24:28+00:00,"Yes!!! Exactly the start we hoped for 💪 A very lovely result finishing one-two 👏

A big thank you goes out to the entire team, this is down to all their hard work over the winter! 

Let’s keep pushing @SChecoPerez @redbullracing @HondaRacingGLB

#BahrainGP https://t.co/AAiImT001n",en,42907,1,"Yes!!! Exactly the start we hoped for flexed_biceps A very lovely result finishing one-two clapping_hands A big thank you goes out to the entire team, this is down to all their hard work over the winter! Let’s keep pushing"
1,Bahrain_23,Max33Verstappen,2023-03-04 18:01:16+00:00,"Pole Position!! 

Very happy that we managed to put the best bits together for Qualifying today! Great work by everyone in the team @redbullracing &amp; @HondaRacingGLB 👏

Looking forward to be racing again tomorrow 👌 https://t.co/EQD3j3H3wo",en,32685,1,Pole Position!! Very happy that we managed to put the best bits together for Qualifying today! Great work by everyone in the team &amp; clapping_hands Looking forward to be racing again tomorrow OK_hand
2,Bahrain_23,Max33Verstappen,2023-03-04 09:42:03+00:00,51 years old today and my biggest support ever 👏 Happy birthday 🎉 https://t.co/bTRqvnUZeZ,en,32723,1,51 years old today and my biggest support ever clapping_hands Happy birthday party_popper
3,Bahrain_23,Charles_Leclerc,2023-03-05 21:25:50+00:00,"We have a lot of work to do. Not the first race we wanted to have, struggling with the pace in the race and unfortunately not finishing the race because of a reliability problem. 
Two weeks to push flat out and react starting from Jeddah! https://t.co/qKMYvJqB7M",en,66425,0,"We have a lot of work to do. Not the first race we wanted to have, struggling with the pace in the race and unfortunately not finishing the race because of a reliability problem. Two weeks to push flat out and react starting from Jeddah!"
4,Bahrain_23,Charles_Leclerc,2023-03-04 19:23:00+00:00,"Starting third tomorrow. 
Not a bad day all in all, let’s see what we can do from there! https://t.co/oKs6xU7uzm",en,61819,0,"Starting third tomorrow. Not a bad day all in all, let’s see what we can do from there!"
5,Bahrain_23,SChecoPerez,2023-03-06 05:54:12+00:00,"Excelente inicio de Campeonato.
Gran trabajo de #HondaRacing #RedBullRacing 
A cargar pilas para volver con todo para Arabia Saudita. 💪 https://t.co/y8h5R5mHKx",es,34171,0,Excelente inicio de Campeonato. Gran trabajo de #HondaRacing #RedBullRacing A cargar pilas para volver con todo para Arabia Saudita. flexed_biceps
6,Bahrain_23,SChecoPerez,2023-03-04 17:24:12+00:00,¡Muy buen inicio bloqueando la primera fila para el equipo! Vamos con todo para mañana. 💪 #BahrainGP https://t.co/dwLSLiRe9j,es,34651,0,¡Muy buen inicio bloqueando la primera fila para el equipo! Vamos con todo para mañana. flexed_biceps #BahrainGP
7,Bahrain_23,GeorgeRussell63,2023-03-05 20:47:25+00:00,"We’re a long way from where we want to be right now, but it’s not through a lack of commitment. Every single member of this team is giving their all to get us back to the front and together I know we will achieve it. I’m proud to be a part of this awesome group of people. https://t.co/Uy5wBX3RsK",en,19039,0,"We’re a long way from where we want to be right now, but it’s not through a lack of commitment. Every single member of this team is giving their all to get us back to the front and together I know we will achieve it. I’m proud to be a part of this awesome group of people."
8,Bahrain_23,GeorgeRussell63,2023-03-04 18:32:42+00:00,"P6 in quali is not where we want to be, but we know we can build from there. Tomorrow is when it counts and we’re in the mix for a good battle. 👊 https://t.co/wil1RnPHag",en,11310,0,"P6 in quali is not where we want to be, but we know we can build from there. Tomorrow is when it counts and we’re in the mix for a good battle. oncoming_fist"
9,Bahrain_23,Carlossainz55,2023-03-05 18:44:21+00:00,"🇧🇭 Domingo difícil, pero ya sabíamos que Baréin iba a ser duro. Toca centrarnos en mejorar para las próximas carreras. Es la primera del año y seguiremos apretando.

👉https://t.co/TwPrqqkEj1

-
#CarlosSainz https://t.co/Vs7oLTdVKk",es,6527,0,"🇧🇭 Domingo difícil, pero ya sabíamos que Baréin iba a ser duro. Toca centrarnos en mejorar para las próximas carreras. Es la primera del año y seguiremos apretando. backhand_index_pointing_right - #CarlosSainz"
10,Bahrain_23,Carlossainz55,2023-03-05 18:44:16+00:00,"🇧🇭 It was a challenging Sunday, but we knew Bahrain was going to be tough. Time to put our heads down, and improve for the upcoming races. It's only race one, we’ll keep pushing no matter what.

👉https://t.co/vHceFEtDFM

-
#CarlosSainz https://t.co/2Wwg7pxcGl",en,7155,0,"🇧🇭 It was a challenging Sunday, but we knew Bahrain was going to be tough. Time to put our heads down, and improve for the upcoming races. It's only race one, we’ll keep pushing no matter what. backhand_index_pointing_right - #CarlosSainz"
11,Bahrain_23,Carlossainz55,2023-03-04 18:24:49+00:00,"🇧🇭Hoy hemos dado un paso adelante como equipo. Hemos reaccionado bien tras un viernes difícil y la sensación general ha sido mejor. Mañana pelearemos hasta la última vuelta para intentar conseguir un buen resultado. Vamos!

👉https://t.co/nzTehBxXK6

-
#CarlosSainz https://t.co/ZKPutG0slM",es,4350,0,🇧🇭Hoy hemos dado un paso adelante como equipo. Hemos reaccionado bien tras un viernes difícil y la sensación general ha sido mejor. Mañana pelearemos hasta la última vuelta para intentar conseguir un buen resultado. Vamos! backhand_index_pointing_right - #CarlosSainz
12,Bahrain_23,Carlossainz55,2023-03-04 18:24:36+00:00,"🇧🇭Today we did a step forward as a team. We’ve reacted well after a difficult day yesterday and the feeling overall was better. Tomorrow, we’ll fight until the last lap and try to bring home a good result. Let’s go racing!

👉https://t.co/oQiXLzTeu1

-
#CarlosSainz https://t.co/CqVcId3Ps7",en,5925,0,"🇧🇭Today we did a step forward as a team. We’ve reacted well after a difficult day yesterday and the feeling overall was better. Tomorrow, we’ll fight until the last lap and try to bring home a good result. Let’s go racing! backhand_index_pointing_right - #CarlosSainz"
13,Bahrain_23,LandoNorris,2023-03-05 20:49:16+00:00,@F1 Legend,en,19678,0,Legend
14,Bahrain_23,LandoNorris,2023-03-05 20:25:25+00:00,Hard work never stops. We’ll be back https://t.co/j4oqzORMHS,en,26496,0,Hard work never stops. We’ll be back
15,Bahrain_23,LandoNorris,2023-03-05 10:01:04+00:00,Feels like a good day to do some racin https://t.co/gmPiEQHtB3,en,17448,0,Feels like a good day to do some racin
